Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5428,2676,2752,3.6,3.86,3.38,1583,3845,357,839,1918,1270,57,767,220,785,514,932,1241,1000,956,AB,46.0669,23.5774
ARAD,2126,1159,967,1.12,1.4,0.9,725,1401,473,253,632,372,24,229,143,140,88,275,572,535,516,AR,46.1866,21.319
ARGES,8012,3779,4233,3.53,3.66,3.42,1132,6880,423,2053,2793,1169,85,1236,253,756,557,1416,2053,1703,1527,AG,44.8606,24.9575
BACAU,5084,2171,2913,2.74,2.76,2.73,1780,3304,315,808,2022,861,64,838,176,611,317,639,1220,1168,1129,BC,46.5672,26.912
BIHOR,2796,1507,1289,1.19,1.45,0.99,789,2007,235,576,716,571,69,370,259,287,175,414,653,567,700,BH,47.0465,21.9522
BISTRITA NASAUD,3445,1739,1706,3.06,3.57,2.68,961,2484,308,475,1101,744,45,618,154,307,201,503,832,656,946,BN,47.1354,24.4897
BOTOSANI,3264,1549,1715,3.03,3.13,2.95,1022,2242,142,624,1410,527,36,465,60,284,121,362,799,795,903,BT,47.7486,26.663
BRAILA,3326,1476,1850,3.09,3.07,3.11,774,2552,451,835,1243,294,38,368,97,372,229,468,812,537,908,BR,45.2692,27.9574
BRASOV,6016,2975,3041,2.39,2.72,2.14,1646,4370,814,1731,2041,689,36,467,238,1038,565,1159,1285,978,991,BV,45.658,25.5696
BUZAU,7508,3205,4303,5.29,5.07,5.47,1169,6339,814,1841,2716,868,45,1130,94,541,315,1047,1842,1955,1808,BZ,45.1481,26.8241
CALARASI,3725,1780,1945,5.08,5.44,4.79,937,2788,506,1025,1233,574,34,294,59,429,153,746,983,592,822,CL,44.2068,27.3387
CARAS-SEVERIN,2200,1049,1151,2.43,2.8,2.16,823,1377,300,364,583,515,40,280,118,202,130,302,519,534,513,CS,45.3008,22.2151
CLUJ,4104,2031,2073,1.17,1.32,1.05,1554,2550,706,778,1037,611,91,602,279,415,244,727,1043,881,794,CJ,46.7712,23.5726
CONSTANTA,5406,3329,2077,1.98,2.9,1.31,2270,3136,733,911,1443,1302,48,630,339,751,370,737,1238,842,1468,CT,44.1598,28.6348
COVASNA,3026,1427,1599,3.89,4.18,3.66,759,2267,418,1094,748,451,22,249,44,749,328,504,606,471,368,CV,45.8683,26.141
DAMBOVITA,5043,2730,2313,3.07,4.19,2.33,821,4222,411,1125,1896,866,42,563,140,747,446,766,1147,939,998,DB,44.9333,25.4597
DOLJ,16054,7056,8998,7.14,7.16,7.11,2174,13880,964,4783,5449,2714,116,1760,268,1830,1172,2439,4067,3536,3010,DJ,44.3302,23.7949
GALATI,9763,4563,5200,5.89,6.26,5.6,1483,8280,1162,2046,3908,1178,73,1159,237,1271,802,1190,2437,1736,2327,GL,45.435,28.0544
GIURGIU,2073,1118,955,3.21,3.95,2.64,381,1692,272,372,863,394,11,127,34,363,198,284,439,403,386,GR,43.9037,25.9699
GORJ,3982,2130,1852,3.33,3.88,2.87,1092,2890,0,458,1213,1141,63,882,225,370,246,568,993,969,836,GJ,45.0382,23.2746
HARGHITA,4878,2235,2643,4.12,4.5,3.84,1342,3536,813,1524,1150,721,69,457,144,820,392,965,1173,798,730,HR,46.3606,25.5976
HUNEDOARA,6242,3203,3039,4.01,4.61,3.53,4056,2186,481,778,1642,1708,144,1006,483,766,496,940,1654,1425,961,HD,45.8833,22.9121
IALOMITA,3975,2039,1936,5.1,5.89,4.46,1096,2879,397,892,1584,515,13,537,37,531,308,514,947,682,993,IL,44.5642,27.5835
IASI,7973,3521,4452,2.97,2.87,3.06,1135,6838,500,1718,2695,876,67,1893,224,699,382,1126,2124,1404,2238,IS,47.1585,27.5749
ILFOV,951,533,418,0.46,0.65,0.34,155,796,133,281,243,149,6,71,68,175,65,137,220,191,163,IF,44.4268,26.0974
MARAMURES,3870,1998,1872,2.2,2.53,1.94,1854,2016,143,796,1107,868,88,630,238,605,337,716,968,697,547,MM,47.6584,23.58
MEHEDINTI,5847,2580,3267,7.08,7.19,7,983,4864,697,966,2297,1113,49,610,115,599,402,726,1426,1416,1278,MH,44.6319,22.6561
MUN. BUCURESTI,12220,6738,5482,1,1.1,0.9,12220,0,22,66,2124,4562,382,2116,2948,170,899,2599,3489,2931,2132,B,44.4268,26.1025
MURES,5726,2650,3076,2.76,3,2.58,1557,4169,721,2011,1597,659,35,570,133,1218,572,920,1284,752,980,MS,46.5456,24.5624
NEAMT,6677,2840,3837,4.44,4.37,4.49,1076,5601,552,1141,2372,926,57,1458,171,518,276,919,1795,1608,1561,NT,46.9312,26.3709
OLT,7512,3486,4026,5.81,6.29,5.44,1301,6211,635,547,2907,1704,79,1530,110,911,795,918,1662,1676,1550,OT,44.4304,24.3714
PRAHOVA,5799,2900,2899,2.18,2.64,1.86,1684,4115,491,1079,1661,1117,75,1097,279,715,383,837,1455,1378,1031,PH,44.9493,26.0365
SALAJ,4607,1991,2616,5.14,5.25,5.05,769,3838,561,1494,1352,499,45,508,148,640,366,1002,1134,781,684,SJ,47.1866,23.0635
SATU MARE,4679,2062,2617,3.66,3.62,3.7,850,3829,784,1893,1388,262,16,281,55,625,314,1000,1321,743,676,SM,47.7919,22.8853
SIBIU,4401,2186,2215,2.39,2.67,2.16,1233,3168,384,1546,1160,514,28,595,174,684,357,782,1037,665,876,SB,45.7983,24.1256
SUCEAVA,10585,4569,6016,5.53,5.54,5.52,2773,7812,1010,2438,3778,1252,151,1645,311,1275,723,2072,2750,1627,2138,SV,47.6514,26.2555
TELEORMAN,8455,3574,4881,7.79,7.12,8.37,1682,6773,769,1526,3897,1244,39,872,108,915,573,1364,2030,1816,1757,TR,43.9716,25.3356
TIMIS,1926,975,951,0.59,0.7,0.51,848,1078,291,250,395,436,36,256,262,145,103,328,480,365,505,TM,45.7489,21.2087
TULCEA,2752,1371,1381,3.8,4.22,3.45,748,2004,0,266,1249,739,0,418,80,473,349,377,503,544,506,TL,45.1796,28.8069
VALCEA,4317,2143,2174,3.11,3.58,2.74,1252,3065,157,528,1277,1165,74,889,227,564,391,548,940,1038,836,VL,45.0997,24.3693
VASLUI,8709,3583,5126,8.22,7.24,9.07,1011,7698,417,2076,3995,909,40,1199,73,360,237,1159,2642,2270,2041,VS,46.6407,27.7276
VRANCEA,4634,2001,2633,4.09,3.85,4.3,740,3894,324,1460,1754,544,43,440,69,511,252,718,1146,1021,986,VR,45.696,27.1833
ROMANIA,229116,108627,120489,2.92,3.11,2.78,64240,164876,20086,48267,76589,39593,2575,32112,9894,26167,16143,36145,56961,46625,47075,RO,,
