Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5469,2718,2751,3.47,3.82,3.18,1746,3723,326,873,1854,1338,39,841,198,993,477,889,1198,947,965,AB,46.0669,23.5774
ARAD,2297,1248,1049,1.18,1.5,0.94,823,1474,444,253,619,522,30,259,170,235,98,287,591,576,510,AR,46.1866,21.319
ARGES,7985,3902,4083,3.42,3.61,3.26,1180,6805,400,2068,2694,1282,84,1214,243,897,530,1408,1949,1655,1546,AG,44.8606,24.9575
BACAU,4752,2148,2604,2.5,2.66,2.39,1746,3006,296,872,1716,857,48,766,197,688,293,527,1122,1070,1052,BC,46.5672,26.912
BIHOR,3056,1723,1333,1.28,1.65,1,896,2160,237,610,772,739,48,414,236,460,160,401,707,585,743,BH,47.0465,21.9522
BISTRITA NASAUD,3980,2047,1933,3.44,4.16,2.9,1249,2731,281,513,1391,936,45,618,196,741,245,461,870,698,965,BN,47.1354,24.4897
BOTOSANI,3405,1648,1757,3.05,3.23,2.9,1115,2290,131,584,1342,677,35,527,109,543,119,365,723,781,874,BT,47.7486,26.663
BRAILA,3400,1526,1874,3.09,3.02,3.15,865,2535,458,781,1237,413,36,374,101,485,192,469,813,552,889,BR,45.2692,27.9574
BRASOV,6540,3367,3173,2.52,2.96,2.18,1891,4649,766,1800,2144,980,43,560,247,1698,573,1078,1271,938,982,BV,45.658,25.5696
BUZAU,7927,3473,4454,5.45,5.53,5.39,1428,6499,810,1808,2725,1250,32,1200,102,1050,313,1008,1779,1988,1789,BZ,45.1481,26.8241
