Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5659,2806,2853,3.59,3.95,3.29,1841,3818,359,921,1802,1306,49,947,275,976,496,915,1256,1038,978,AB,46.0669,23.5774
ARAD,2225,1178,1047,1.14,1.42,0.94,686,1539,496,252,648,401,28,258,142,159,72,309,604,573,508,AR,46.1866,21.319
ARGES,8223,3946,4277,3.52,3.65,3.41,1183,7040,399,2176,2821,1251,89,1219,268,1078,543,1378,1935,1595,1694,AG,44.8606,24.9575
BACAU,4950,2133,2817,2.61,2.64,2.58,1694,3256,310,859,1848,794,49,879,211,609,264,551,1212,1112,1202,BC,46.5672,26.912
BIHOR,3238,1790,1448,1.36,1.71,1.09,873,2365,320,712,853,627,54,398,274,319,172,516,786,631,814,BH,47.0465,21.9522
BISTRITA NASAUD,3861,1940,1921,3.33,3.94,2.88,1244,2617,253,452,1340,902,65,657,192,640,216,472,860,665,1008,BN,47.1354,24.4897
BOTOSANI,3439,1647,1792,3.08,3.23,2.96,1055,2384,118,602,1424,587,54,575,79,457,118,392,792,775,905,BT,47.7486,26.663
BRAILA,3555,1510,2045,3.23,2.98,3.44,914,2641,508,824,1269,373,44,431,106,472,165,480,848,591,999,BR,45.2692,27.9574
BRASOV,6694,3343,3351,2.58,2.94,2.3,1891,4803,641,1534,2884,771,39,552,273,1487,630,1144,1418,959,1056,BV,45.658,25.5696
BUZAU,7960,3312,4648,5.47,5.27,5.63,1340,6620,865,1933,2859,932,42,1234,95,668,336,1027,1932,1970,2027,BZ,45.1481,26.8241
CALARASI,3897,1858,2039,5.11,5.39,4.88,952,2945,485,1021,1206,608,36,461,80,549,174,781,1020,603,770,CL,44.2068,27.3387
CARAS-SEVERIN,2438,1142,1296,2.62,2.88,2.42,987,1451,231,417,652,627,55,321,135,294,121,337,579,505,602,CS,45.3008,22.2151
CLUJ,4182,2141,2041,1.16,1.33,1.02,1679,2503,651,750,1075,662,93,606,345,425,240,748,1059,832,878,CJ,46.7712,23.5726
CONSTANTA,6263,4101,2162,2.24,3.4,1.36,2701,3562,751,900,1662,1618,85,954,293,1003,347,730,1415,1000,1768,CT,44.1598,28.6348
COVASNA,4089,1992,2097,5.09,5.55,4.72,1219,2870,460,1347,826,898,31,457,70,1432,283,641,750,520,463,CV,45.8683,26.141
DAMBOVITA,4691,2457,2234,2.75,3.52,2.22,745,3946,356,1074,1586,916,51,567,141,900,411,684,977,856,863,DB,44.9333,25.4597
DOLJ,16870,7456,9414,7.31,7.34,7.29,2487,14383,1054,4974,5581,3116,116,1734,295,2354,1262,2486,4095,3266,3407,DJ,44.3302,23.7949
GALATI,8755,3732,5023,5.2,4.92,5.43,1460,7295,1071,1917,3453,1029,56,1008,221,952,369,1068,2303,1654,2409,GL,45.435,28.0544
GIURGIU,2211,1146,1065,3.32,3.94,2.84,447,1764,263,406,833,524,12,144,29,432,243,328,432,363,413,GR,43.9037,25.9699
GORJ,3714,1854,1860,3.04,3.35,2.78,1073,2641,0,481,1071,1059,72,840,191,455,167,489,855,864,884,GJ,45.0382,23.2746
HARGHITA,5101,2227,2874,4.14,4.28,4.04,1390,3711,937,1519,1107,775,70,557,136,989,342,1032,1176,803,759,HR,46.3606,25.5976
HUNEDOARA,7062,3820,3242,4.53,5.25,3.91,4498,2564,498,921,1909,1962,131,1102,539,897,557,1089,1739,1555,1225,HD,45.8833,22.9121
IALOMITA,3846,1828,2018,4.84,5.15,4.59,995,2851,403,828,1501,462,32,584,36,488,214,490,911,668,1075,IL,44.5642,27.5835
IASI,8136,3581,4555,2.95,2.85,3.03,1191,6945,445,1746,2816,820,52,1988,269,730,315,1158,2185,1388,2360,IS,47.1585,27.5749
ILFOV,998,600,398,0.47,0.69,0.32,221,777,97,251,297,175,4,94,80,180,64,129,229,182,214,IF,44.4268,26.0974
MARAMURES,4155,2105,2050,2.32,2.66,2.06,1893,2262,189,966,1178,813,80,713,216,877,289,694,976,720,599,MM,47.6584,23.58
MEHEDINTI,5930,2648,3282,6.95,6.9,7,1069,4861,544,1046,2382,1156,57,636,109,602,287,782,1439,1344,1476,MH,44.6319,22.6561
MUN. BUCURESTI,10811,6294,4517,0.86,0.99,0.72,10811,0,24,71,1842,3484,235,2044,3111,263,874,2506,2751,2459,1958,B,44.4268,26.1025
MURES,6260,2918,3342,2.93,3.25,2.7,1858,4402,672,2090,1630,926,65,706,171,1555,612,1020,1339,740,994,MS,46.5456,24.5624
NEAMT,7080,3086,3994,4.57,4.47,4.66,1173,5907,589,1192,2477,952,77,1590,203,637,295,1003,1831,1579,1735,NT,46.9312,26.3709
OLT,7303,3419,3884,5.46,5.88,5.14,1319,5984,568,773,2840,1551,91,1353,127,847,613,990,1690,1547,1616,OT,44.4304,24.3714
