Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5533,2698,2835,3.51,3.79,3.27,1838,3695,363,906,1767,1164,52,919,362,678,424,962,1328,1069,1072,AB,46.0669,23.5774
ARAD,2623,1352,1271,1.35,1.63,1.14,851,1772,637,341,765,394,33,281,172,161,98,427,729,634,574,AR,46.1866,21.319
ARGES,8486,3973,4513,3.63,3.67,3.6,1187,7299,425,2290,2916,1133,93,1331,298,811,534,1535,2166,1658,1782,AG,44.8606,24.9575
BACAU,5574,2311,3263,2.94,2.86,2.99,1800,3774,312,900,2168,836,57,1065,236,479,245,753,1432,1227,1438,BC,46.5672,26.912
BIHOR,4064,2177,1887,1.71,2.08,1.41,1095,2969,435,1068,1074,639,60,442,346,304,269,776,1024,709,982,BH,47.0465,21.9522
BISTRITA NASAUD,4891,2355,2536,4.22,4.79,3.81,1575,3316,281,592,1751,1136,61,844,226,563,276,610,1154,941,1347,BN,47.1354,24.4897
BOTOSANI,4568,2069,2499,4.09,4.06,4.12,1323,3245,165,884,2013,596,59,758,93,305,200,828,1255,956,1024,BT,47.7486,26.663
BRAILA,3998,1681,2317,3.63,3.32,3.89,963,3035,541,927,1523,348,53,478,128,378,188,611,1035,688,1098,BR,45.2692,27.9574
BRASOV,6531,3113,3418,2.52,2.73,2.35,1733,4798,681,1627,2720,648,48,495,312,1007,532,1322,1503,1033,1134,BV,45.658,25.5696
BUZAU,7851,3287,4564,5.4,5.23,5.53,1324,6527,861,1923,2879,824,52,1195,117,512,311,1047,1978,1955,2048,BZ,45.1481,26.8241
CALARASI,4068,1955,2113,5.33,5.67,5.06,956,3112,494,1035,1252,669,43,477,98,632,186,808,1041,618,783,CL,44.2068,27.3387
CARAS-SEVERIN,2840,1323,1517,3.05,3.33,2.84,1160,1680,260,465,846,657,60,387,165,240,162,435,719,593,691,CS,45.3008,22.2151
CLUJ,4728,2428,2300,1.31,1.51,1.15,1881,2847,767,847,1188,703,107,679,437,458,285,923,1214,884,964,CJ,46.7712,23.5726
CONSTANTA,5899,3873,2026,2.11,3.21,1.27,2595,3304,775,848,1626,1339,90,906,315,583,303,842,1526,1127,1518,CT,44.1598,28.6348
COVASNA,3356,1534,1822,4.18,4.27,4.1,870,2486,505,1414,754,338,21,258,66,614,247,709,809,524,453,CV,45.8683,26.141
DAMBOVITA,4752,2462,2290,2.79,3.53,2.28,741,4011,376,1145,1640,811,52,570,158,640,363,759,1079,924,987,DB,44.9333,25.4597
DOLJ,17147,7559,9588,7.43,7.44,7.42,2312,14835,1146,5021,6148,2546,101,1848,337,1600,1186,2923,4371,3453,3614,DJ,44.3302,23.7949
GALATI,8896,3749,5147,5.29,4.95,5.56,1472,7424,1076,1998,3607,872,59,1017,267,680,357,1201,2426,1724,2508,GL,45.435,28.0544
GIURGIU,2252,1168,1084,3.38,4.01,2.89,441,1811,255,451,911,409,18,170,38,345,200,333,538,398,438,GR,43.9037,25.9699
GORJ,3984,2007,1977,3.26,3.62,2.96,1127,2857,0,559,1262,968,74,910,211,275,182,603,978,943,1003,GJ,45.0382,23.2746
HARGHITA,5477,2448,3029,4.45,4.71,4.25,1495,3982,1052,1642,1321,692,62,579,129,867,410,1154,1339,875,832,HR,46.3606,25.5976
HUNEDOARA,7527,4117,3410,4.83,5.66,4.11,4791,2736,568,1016,2066,2013,129,1156,579,852,577,1317,1813,1616,1352,HD,45.8833,22.9121
IALOMITA,4153,1917,2236,5.22,5.4,5.08,1046,3107,411,973,1611,439,28,648,43,361,212,639,1077,719,1145,IL,44.5642,27.5835
IASI,8728,3763,4965,3.16,2.99,3.31,1219,7509,468,1919,3043,790,64,2138,306,593,334,1357,2449,1511,2484,IS,47.1585,27.5749
ILFOV,1003,613,390,0.47,0.7,0.31,225,778,98,244,296,161,6,100,98,131,65,150,232,197,228,IF,44.4268,26.0974
MARAMURES,4395,2210,2185,2.46,2.79,2.19,2063,2332,201,998,1250,800,87,773,286,734,281,826,1120,796,638,MM,47.6584,23.58
MEHEDINTI,6450,2827,3623,7.56,7.36,7.72,1077,5373,599,1137,2725,1081,57,730,121,434,299,945,1630,1477,1665,MH,44.6319,22.6561
MUN. BUCURESTI,10715,6206,4509,0.85,0.98,0.72,10715,0,18,71,1827,3474,235,1981,3109,235,909,2451,2736,2439,1945,B,44.4268,26.1025
MURES,7301,3312,3989,3.42,3.69,3.23,2078,5223,923,2683,2007,699,61,745,183,1259,700,1433,1737,908,1264,MS,46.5456,24.5624
NEAMT,6838,3026,3812,4.41,4.38,4.44,1313,5525,492,1038,2442,887,75,1651,253,499,260,1046,1815,1524,1694,NT,46.9312,26.3709
