Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5735,2781,2954,3.64,3.91,3.41,1867,3868,368,886,1784,1324,51,960,362,832,470,960,1322,1098,1053,AB,46.0669,23.5774
ARAD,2335,1197,1138,1.2,1.44,1.02,788,1547,551,285,680,378,33,253,155,146,81,370,622,592,524,AR,46.1866,21.319
ARGES,8375,3979,4396,3.59,3.68,3.51,1159,7216,418,2226,2872,1180,91,1307,281,911,532,1440,2060,1654,1778,AG,44.8606,24.9575
BACAU,5233,2229,3004,2.76,2.76,2.75,1753,3480,294,818,1997,850,58,986,230,570,251,615,1308,1173,1316,BC,46.5672,26.912
BIHOR,3469,1884,1585,1.46,1.8,1.19,944,2525,318,794,895,666,68,413,315,307,190,573,870,671,858,BH,47.0465,21.9522
BISTRITA NASAUD,4384,2135,2249,3.79,4.34,3.38,1506,2878,252,481,1534,1063,66,763,225,578,242,519,1002,844,1199,BN,47.1354,24.4897
BOTOSANI,3792,1799,1993,3.4,3.53,3.29,1197,2595,137,684,1597,590,51,643,90,373,150,524,952,822,971,BT,47.7486,26.663
BRAILA,3756,1590,2166,3.41,3.14,3.64,1008,2748,524,867,1351,360,51,479,124,400,170,543,935,647,1061,BR,45.2692,27.9574
BRASOV,6368,3129,3239,2.45,2.75,2.22,1784,4584,607,1516,2706,679,42,503,315,1102,546,1169,1448,988,1115,BV,45.658,25.5696
BUZAU,8112,3405,4707,5.58,5.42,5.7,1404,6708,875,1953,2956,924,50,1245,109,640,338,1087,2022,2018,2007,BZ,45.1481,26.8241
CALARASI,4103,1979,2124,5.38,5.74,5.08,956,3147,497,1036,1257,689,46,479,99,653,188,812,1045,620,785,CL,44.2068,27.3387
CARAS-SEVERIN,2652,1235,1417,2.85,3.11,2.65,1081,1571,236,427,740,687,57,350,155,281,140,380,634,544,673,CS,45.3008,22.2151
CLUJ,4509,2303,2206,1.25,1.43,1.1,1822,2687,691,808,1153,704,100,648,405,447,258,841,1151,874,938,CJ,46.7712,23.5726
CONSTANTA,6056,3998,2058,2.16,3.32,1.29,2667,3389,739,799,1681,1479,92,962,304,751,332,709,1418,1023,1823,CT,44.1598,28.6348
COVASNA,3369,1581,1788,4.2,4.4,4.03,897,2472,455,1304,743,467,26,304,70,778,248,643,749,506,445,CV,45.8683,26.141
DAMBOVITA,4651,2450,2201,2.73,3.51,2.19,730,3921,343,1040,1576,922,54,559,157,824,385,696,970,874,902,DB,44.9333,25.4597
