Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5431,2731,2700,3.6,3.94,3.32,1732,3699,314,867,1873,1308,45,815,209,881,494,882,1206,986,982,AB,46.0669,23.5774
ARAD,2318,1259,1059,1.22,1.52,0.99,856,1462,442,259,632,511,28,271,175,225,94,299,606,580,514,AR,46.1866,21.319
ARGES,8035,3914,4121,3.54,3.79,3.33,1185,6850,405,2043,2744,1253,88,1245,257,861,557,1410,2000,1686,1521,AG,44.8606,24.9575
BACAU,4696,2102,2594,2.53,2.67,2.43,1712,2984,296,868,1755,781,50,752,194,589,287,550,1148,1061,1061,BC,46.5672,26.912
BIHOR,2726,1503,1223,1.16,1.44,0.94,784,1942,224,587,709,546,49,390,221,266,160,377,680,562,681,BH,47.0465,21.9522
BISTRITA NASAUD,3663,1854,1809,3.26,3.81,2.84,1175,2488,285,499,1236,837,36,613,157,538,215,453,840,666,951,BN,47.1354,24.4897
BOTOSANI,3442,1673,1769,3.2,3.38,3.04,1127,2315,136,583,1375,705,29,506,108,513,119,383,742,794,891,BT,47.7486,26.663
BRAILA,3362,1514,1848,3.12,3.15,3.11,829,2533,459,778,1242,389,33,368,93,442,188,478,821,548,885,BR,45.2692,27.9574
BRASOV,6585,3426,3159,2.62,3.13,2.22,1962,4623,683,1887,2177,989,37,578,234,1696,586,1107,1257,962,977,BV,45.658,25.5696
BUZAU,7869,3447,4422,5.55,5.45,5.62,1403,6466,811,1808,2702,1218,31,1195,104,1034,307,1010,1756,1964,1798,BZ,45.1481,26.8241
CALARASI,3720,1756,1964,5.08,5.37,4.84,989,2731,141,653,1157,749,22,960,38,456,183,773,948,601,759,CL,44.2068,27.3387
CARAS-SEVERIN,2055,959,1096,2.27,2.56,2.06,797,1258,269,334,550,517,29,249,107,185,110,279,484,465,532,CS,45.3008,22.2151
