Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5383,2681,2702,3.57,3.87,3.32,1640,3743,322,875,1886,1295,45,755,205,842,511,904,1185,981,960,AB,46.0669,23.5774
ARAD,2226,1208,1018,1.17,1.46,0.95,830,1396,440,257,613,456,26,265,169,170,89,298,587,575,507,AR,46.1866,21.319
ARGES,7961,3830,4131,3.51,3.71,3.34,1139,6822,412,2068,2766,1166,79,1212,258,765,574,1414,2005,1686,1517,AG,44.8606,24.9575
BACAU,4982,2172,2810,2.69,2.76,2.63,1791,3191,296,854,1894,860,48,837,193,605,307,597,1216,1160,1097,BC,46.5672,26.912
BIHOR,2800,1556,1244,1.2,1.49,0.96,795,2005,245,601,713,569,50,393,229,263,175,406,689,551,716,BH,47.0465,21.9522
BISTRITA NASAUD,3619,1830,1789,3.22,3.76,2.81,1175,2444,314,519,1174,790,44,619,159,400,235,489,860,665,970,BN,47.1354,24.4897
BOTOSANI,3191,1515,1676,2.96,3.06,2.88,1015,2176,139,605,1396,494,22,445,90,239,114,375,793,784,886,BT,47.7486,26.663
BRAILA,3235,1446,1789,3.01,3.01,3.01,737,2498,446,783,1238,297,32,347,92,340,187,484,803,544,877,BR,45.2692,27.9574
BRASOV,6348,3259,3089,2.52,2.98,2.17,1821,4527,809,1738,2132,890,33,502,244,1360,574,1138,1281,996,999,BV,45.658,25.5696
BUZAU,7723,3384,4339,5.44,5.35,5.51,1307,6416,825,1836,2797,996,31,1142,96,734,316,1042,1826,1987,1818,BZ,45.1481,26.8241
CALARASI,3683,1775,1908,5.02,5.43,4.7,901,2782,456,1029,1215,584,44,291,64,454,163,763,969,569,765,CL,44.2068,27.3387
CARAS-SEVERIN,2099,978,1121,2.31,2.61,2.11,802,1297,272,346,565,519,29,253,115,199,122,286,494,490,508,CS,45.3008,22.2151
CLUJ,3959,1982,1977,1.13,1.29,1,1507,2452,684,733,1017,587,81,564,293,382,226,697,996,861,797,CJ,46.7712,23.5726
CONSTANTA,4747,2789,1958,1.74,2.43,1.24,1896,2851,732,826,1277,1212,36,429,235,803,336,642,1025,677,1264,CT,44.1598,28.6348
COVASNA,3355,1643,1712,4.31,4.82,3.92,833,2522,417,1170,858,608,21,245,36,1031,341,511,617,477,378,CV,45.8683,26.141
DAMBOVITA,4844,2670,2174,2.95,4.1,2.19,889,3955,367,1017,1738,967,40,587,128,776,438,712,1057,902,959,DB,44.9333,25.4597
DOLJ,16024,7111,8913,7.12,7.22,7.05,2237,13787,978,4749,5452,2722,107,1715,301,1911,1104,2430,4038,3521,3020,DJ,44.3302,23.7949
GALATI,9524,4320,5204,5.74,5.93,5.6,1483,8041,1167,2111,3832,1071,63,1075,205,1106,614,1154,2437,1751,2462,GL,45.435,28.0544
GIURGIU,2079,1120,959,3.22,3.96,2.65,398,1681,267,357,862,435,6,118,34,344,192,270,487,406,380,GR,43.9037,25.9699
GORJ,3912,2078,1834,3.27,3.79,2.84,1105,2807,0,452,1149,1172,63,864,212,401,238,560,904,973,836,GJ,45.0382,23.2746
HARGHITA,4712,2175,2537,3.98,4.38,3.69,1314,3398,800,1479,1085,759,60,401,128,864,331,916,1105,766,730,HR,46.3606,25.5976
HUNEDOARA,6037,3162,2875,3.88,4.55,3.34,3899,2138,464,769,1617,1623,149,964,451,740,485,879,1568,1401,964,HD,45.8833,22.9121
IALOMITA,3799,1957,1842,4.87,5.66,4.24,985,2814,385,844,1515,472,15,529,39,473,258,509,906,685,968,IL,44.5642,27.5835
IASI,8644,4021,4623,3.22,3.28,3.18,1590,7054,493,1784,2868,920,68,2027,484,829,447,1273,2218,1439,2438,IS,47.1585,27.5749
ILFOV,891,521,370,0.43,0.64,0.3,168,723,118,260,220,152,11,63,67,192,70,117,200,179,133,IF,44.4268,26.0974
MARAMURES,4177,2224,1953,2.38,2.82,2.02,2194,1983,141,808,1168,884,93,695,388,618,332,792,1043,747,645,MM,47.6584,23.58
MEHEDINTI,5722,2523,3199,6.93,7.03,6.85,964,4758,691,980,2248,1054,44,607,98,544,386,700,1400,1394,1298,MH,44.6319,22.6561
MUN. BUCURESTI,12227,7058,5169,1,1.15,0.85,12227,0,19,66,2126,4126,273,2129,3488,169,933,2846,3400,2814,2065,B,44.4268,26.1025
MURES,5805,2719,3086,2.79,3.08,2.59,1571,4234,840,2049,1553,658,36,537,132,1304,554,949,1295,749,954,MS,46.5456,24.5624
NEAMT,6509,2809,3700,4.32,4.32,4.33,1074,5435,558,1138,2331,897,45,1366,174,486,269,892,1721,1538,1603,NT,46.9312,26.3709
OLT,7004,3247,3757,5.41,5.86,5.08,1176,5828,607,856,2807,1389,58,1186,101,879,717,861,1485,1513,1549,OT,44.4304,24.3714
PRAHOVA,6081,3158,2923,2.29,2.87,1.88,1833,4248,440,1112,1801,1171,72,1159,326,801,407,913,1471,1431,1058,PH,44.9493,26.0365
SALAJ,4625,2065,2560,5.16,5.45,4.94,814,3811,535,1458,1333,587,39,535,138,672,337,970,1148,798,700,SJ,47.1866,23.0635
SATU MARE,4446,1987,2459,3.48,3.49,3.47,790,3656,755,1830,1270,249,11,271,60,546,271,962,1255,753,659,SM,47.7919,22.8853
SIBIU,4955,2632,2323,2.69,3.22,2.26,1706,3249,372,1548,1253,632,46,617,487,792,400,970,1159,700,934,SB,45.7983,24.1256
SUCEAVA,10293,4552,5741,5.38,5.52,5.27,2706,7587,1004,2392,3704,1267,99,1545,282,1189,689,1990,2692,1569,2164,SV,47.6514,26.2555
TELEORMAN,8424,3577,4847,7.76,7.13,8.31,1713,6711,730,1520,3872,1246,42,903,111,918,542,1237,2022,1843,1862,TR,43.9716,25.3356
TIMIS,2375,1276,1099,0.73,0.92,0.58,1185,1190,282,281,524,585,34,289,380,276,123,465,561,386,564,TM,45.7489,21.2087
TULCEA,2693,1349,1344,3.71,4.15,3.36,761,1932,0,270,1174,697,0,418,134,532,315,409,498,481,458,TL,45.1796,28.8069
VALCEA,4218,2054,2164,3.03,3.43,2.73,1238,2980,157,558,1298,1096,52,843,214,579,365,543,893,983,855,VL,45.0997,24.3693
VASLUI,8466,3490,4976,7.99,7.05,8.81,956,7510,402,1710,4224,876,35,1159,60,320,225,1100,2551,2205,2065,VS,46.6407,27.7276
VRANCEA,4361,1901,2460,3.85,3.66,4.02,655,3706,304,1379,1689,500,39,394,56,445,220,716,1038,969,973,VR,45.696,27.1833
ROMANIA,228158,109804,118354,2.91,3.14,2.73,65820,162338,19685,48017,76254,39530,2221,31295,11156,27293,15532,36181,55898,45899,47355,RO,,
