Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5275,2607,2668,3.5,3.76,3.28,1584,3691,330,840,1839,1247,48,769,202,739,497,892,1208,992,947,AB,46.0669,23.5774
ARAD,2261,1270,991,1.19,1.54,0.92,823,1438,469,267,647,406,27,270,175,141,95,320,619,571,515,AR,46.1866,21.319
ARGES,7926,3762,4164,3.49,3.65,3.37,1129,6797,421,2054,2748,1131,81,1237,254,695,551,1396,2039,1703,1542,AG,44.8606,24.9575
BACAU,5026,2160,2866,2.71,2.74,2.68,1749,3277,306,824,1965,838,51,855,187,574,295,636,1234,1184,1103,BC,46.5672,26.912
BIHOR,2810,1526,1284,1.2,1.47,0.99,794,2016,233,603,713,564,54,385,258,278,196,412,647,556,721,BH,47.0465,21.9522
BISTRITA NASAUD,3539,1802,1737,3.15,3.7,2.73,1055,2484,317,513,1166,749,41,596,157,376,211,484,852,652,964,BN,47.1354,24.4897
BOTOSANI,3211,1534,1677,2.98,3.1,2.88,1030,2181,139,608,1398,497,29,457,83,249,122,381,787,771,901,BT,47.7486,26.663
BRAILA,3311,1493,1818,3.08,3.1,3.06,743,2568,449,797,1275,289,37,369,95,352,207,485,815,557,895,BR,45.2692,27.9574
BRASOV,5990,3001,2989,2.38,2.74,2.1,1658,4332,807,1727,2023,707,30,468,228,1078,551,1140,1264,976,981,BV,45.658,25.5696
BUZAU,7441,3181,4260,5.24,5.03,5.41,1154,6287,807,1820,2739,834,33,1112,96,590,304,1026,1809,1938,1774,BZ,45.1481,26.8241
