Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului,  Rata somajului feminina  ,  Rata somajului masculina,Someri mediul urban ,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,Invatamant posticeal,Invatamant profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5320,2567,2753,3.37,3.61,3.18,1772,1616,341,898,1695,1099,47,884,356,532,371,972,1335,1055,1055,AB,46.0669,23.5774
ARAD,2814,1454,1360,1.45,1.75,1.22,922,943,708,372,819,407,28,295,185,189,111,474,775,665,600,AR,46.1866,21.319
ARGES,8385,3910,4475,3.59,3.61,3.57,1142,3247,439,2305,2900,1051,92,1297,301,686,501,1587,2162,1659,1790,AG,44.8606,24.9575
BACAU,5614,2390,3224,2.96,2.96,2.96,1705,1592,360,979,2235,782,50,981,227,413,262,759,1441,1268,1471,BC,46.5672,26.912
BIHOR,4475,2397,2078,1.88,2.29,1.56,1176,1667,516,1275,1211,637,50,442,344,309,305,923,1183,722,1033,BH,47.0465,21.9522
BISTRITA NASAUD,4607,2199,2408,3.98,4.47,3.62,1448,1437,282,619,1657,1025,56,768,200,428,264,651,1116,892,1256,BN,47.1354,24.4897
BOTOSANI,4788,2150,2638,4.29,4.22,4.35,1268,1445,164,946,2232,581,43,724,98,252,210,921,1371,997,1037,BT,47.7486,26.663
BRAILA,4178,1756,2422,3.79,3.47,4.07,1004,1204,562,995,1619,334,62,482,124,341,198,681,1098,712,1148,BR,45.2692,27.9574
BRASOV,6467,3023,3444,2.49,2.65,2.36,1689,2103,706,1703,2631,592,48,468,319,829,491,1390,1552,1054,1151,BV,45.658,25.5696
BUZAU,7668,3229,4439,5.27,5.14,5.37,1333,2554,831,1884,2836,801,53,1154,109,450,291,1007,1922,1907,2091,BZ,45.1481,26.8241
CALARASI,4080,1963,2117,5.35,5.69,5.06,970,1457,497,1036,1257,681,39,474,96,635,187,811,1043,619,785,CL,44.2068,27.3387
CARAS-SEVERIN,2922,1363,1559,3.14,3.43,2.91,1199,774,284,481,893,650,54,381,179,219,165,461,742,604,731,CS,45.3008,22.2151
CLUJ,4904,2476,2428,1.36,1.54,1.21,1919,1297,825,870,1236,719,109,713,432,475,306,941,1241,946,995,CJ,46.7712,23.5726
CONSTANTA,5602,3609,1993,2,2.99,1.25,2411,1824,761,880,1565,1207,73,803,313,386,269,808,1419,953,1767,CT,44.1598,28.6348
COVASNA,3234,1506,1728,4.03,4.19,3.89,836,1053,479,1384,738,316,25,234,58,554,230,700,811,499,440,CV,45.8683,26.141
DAMBOVITA,4985,2548,2437,2.93,3.65,2.42,874,2043,346,1196,1760,855,51,617,160,544,330,834,1186,1009,1082,DB,44.9333,25.4597
DOLJ,18664,8376,10288,8.09,8.24,7.96,2393,7091,1320,5427,6862,2586,102,2026,341,1668,1372,3454,4718,3581,3871,DJ,44.3302,23.7949
GALATI,8664,3641,5023,5.15,4.8,5.43,1339,2886,1073,1988,3483,778,51,1011,280,562,378,1290,2406,1667,2361,GL,45.435,28.0544
GIURGIU,2200,1143,1057,3.3,3.93,2.82,435,883,252,440,911,376,17,166,38,281,190,387,526,380,436,GR,43.9037,25.9699
GORJ,4080,2061,2019,3.34,3.72,3.02,1164,1370,0,586,1290,977,61,931,235,232,186,644,1013,989,1016,GJ,45.0382,23.2746
HARGHITA,5653,2647,3006,4.59,5.09,4.22,1586,1785,1120,1704,1391,679,62,570,127,865,424,1213,1402,899,850,HR,46.3606,25.5976
HUNEDOARA,7579,4145,3434,4.86,5.69,4.14,4824,1431,568,1049,2067,2038,131,1148,578,817,596,1338,1806,1639,1383,HD,45.8833,22.9121
IALOMITA,4197,1945,2252,5.28,5.48,5.12,977,1405,398,986,1696,405,30,638,44,309,206,707,1112,737,1126,IL,44.5642,27.5835
IASI,9400,4133,5267,3.41,3.29,3.51,1198,3485,519,2172,3337,724,73,2271,304,546,387,1595,2727,1637,2508,IS,47.1585,27.5749
ILFOV,1024,618,406,0.48,0.71,0.32,225,473,111,243,311,150,3,103,103,94,55,196,246,205,228,IF,44.4268,26.0974
MARAMURES,4445,2213,2232,2.49,2.79,2.24,2021,1174,278,1011,1224,783,83,777,289,551,254,940,1204,804,692,MM,47.6584,23.58
MEHEDINTI,6632,2915,3717,7.77,7.59,7.93,1081,2329,621,1162,2820,1112,48,739,130,413,295,986,1715,1500,1723,MH,44.6319,22.6561
MUN. BUCURESTI,10611,6176,4435,0.84,0.97,0.71,10611,0,18,69,1777,3469,234,1966,3078,224,906,2434,2690,2420,1937,B,44.4268,26.1025
MURES,7665,3465,4200,3.59,3.86,3.4,2027,2387,1003,2998,2096,643,55,689,181,1174,727,1590,1864,962,1348,MS,46.5456,24.5624
NEAMT,8126,3533,4593,5.25,5.11,5.35,1381,2792,599,1419,2973,953,78,1856,248,521,338,1351,2227,1777,1912,NT,46.9312,26.3709
OLT,7543,3413,4130,5.64,5.87,5.46,1502,2550,633,896,3150,1311,87,1321,145,677,589,1145,1853,1597,1682,OT,44.4304,24.3714
PRAHOVA,6678,3333,3345,2.44,2.95,2.09,1972,2218,493,1230,2048,1075,99,1391,342,638,324,1186,1744,1437,1349,PH,44.9493,26.0365
SALAJ,5181,2256,2925,5.59,5.68,5.52,860,1768,650,1660,1493,545,56,653,124,672,358,1169,1339,835,808,SJ,47.1866,23.0635
SATU MARE,5691,2621,3070,4.35,4.41,4.3,1074,2039,959,2283,1673,318,22,343,93,756,436,1307,1569,830,793,SM,47.7919,22.8853
SIBIU,5081,2472,2609,2.65,2.88,2.47,1403,1704,508,1959,1285,457,34,590,248,575,397,1188,1316,681,924,SB,45.7983,24.1256
SUCEAVA,12107,5130,6977,6.17,5.97,6.32,3023,3690,1019,2846,4476,1437,113,1899,317,1250,812,2538,3209,1760,2538,SV,47.6514,26.2555
TELEORMAN,9452,3904,5548,8.55,7.73,9.23,1809,3004,872,1248,5056,1122,47,982,125,698,518,1649,2447,1931,2209,TR,43.9716,25.3356
TIMIS,2904,1531,1373,0.86,1.04,0.73,1218,880,472,258,688,588,47,422,429,174,131,570,761,528,740,TM,45.7489,21.2087
