Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5703,2841,2862,3.62,4,3.3,1815,3888,371,942,1883,1304,45,901,257,1073,527,888,1213,1024,978,AB,46.0669,23.5774
ARAD,2212,1196,1016,1.14,1.44,0.91,708,1504,487,253,611,443,26,247,145,199,70,285,596,558,504,AR,46.1866,21.319
ARGES,8173,3948,4225,3.5,3.65,3.37,1172,7001,407,2184,2798,1265,89,1172,258,1124,564,1373,1914,1582,1616,AG,44.8606,24.9575
BACAU,4675,2092,2583,2.46,2.59,2.37,1687,2988,295,848,1651,816,54,797,214,686,294,511,1118,962,1104,BC,46.5672,26.912
BIHOR,3129,1731,1398,1.32,1.66,1.05,868,2261,292,712,820,624,52,376,253,322,171,494,733,619,790,BH,47.0465,21.9522
BISTRITA NASAUD,3669,1892,1777,3.17,3.85,2.67,1197,2472,253,464,1220,857,69,619,187,650,216,449,791,618,945,BN,47.1354,24.4897
BOTOSANI,3290,1618,1672,2.95,3.17,2.76,1000,2290,122,571,1356,573,56,529,83,476,109,336,735,738,896,BT,47.7486,26.663
BRAILA,3473,1511,1962,3.15,2.99,3.3,925,2548,504,795,1219,388,47,418,102,491,165,452,820,575,970,BR,45.2692,27.9574
BRASOV,6646,3352,3294,2.56,2.94,2.26,1833,4813,626,1522,2779,875,39,546,259,1638,585,1102,1365,940,1016,BV,45.658,25.5696
BUZAU,7733,3253,4480,5.32,5.18,5.42,1303,6430,852,1890,2743,915,40,1196,97,667,298,1009,1887,1973,1899,BZ,45.1481,26.8241
CALARASI,3855,1846,2009,5.05,5.35,4.81,938,2917,553,1030,1271,607,29,305,60,468,176,752,1020,619,820,CL,44.2068,27.3387
CARAS-SEVERIN,2362,1106,1256,2.53,2.79,2.35,974,1388,233,415,619,613,48,303,131,289,113,332,540,501,587,CS,45.3008,22.2151
CLUJ,4043,2098,1945,1.12,1.3,0.97,1665,2378,630,725,1035,643,87,603,320,432,220,707,1023,818,843,CJ,46.7712,23.5726
CONSTANTA,6043,3936,2107,2.16,3.26,1.32,2646,3397,788,846,1531,1654,76,859,289,1116,333,695,1322,916,1661,CT,44.1598,28.6348
COVASNA,4180,2122,2058,5.21,5.91,4.64,1247,2933,435,1286,861,1060,30,439,69,1779,345,541,668,466,381,CV,45.8683,26.141
DAMBOVITA,4848,2552,2296,2.85,3.66,2.28,811,4037,350,1060,1675,983,55,589,136,958,433,655,992,889,921,DB,44.9333,25.4597
DOLJ,16884,7509,9375,7.32,7.39,7.26,2580,14304,1052,4910,5536,3266,113,1718,289,2560,1210,2469,4064,3276,3305,DJ,44.3302,23.7949
GALATI,8967,3882,5085,5.33,5.12,5.5,1536,7431,1083,1952,3493,1138,58,1025,218,1093,391,1065,2326,1676,2416,GL,45.435,28.0544
GIURGIU,2165,1138,1027,3.25,3.91,2.74,429,1736,257,385,931,412,13,136,31,448,195,253,516,359,394,GR,43.9037,25.9699
GORJ,3675,1821,1854,3,3.29,2.77,1084,2591,0,452,1042,1064,78,828,211,496,145,469,830,847,888,GJ,45.0382,23.2746
HARGHITA,4905,2238,2667,3.98,4.3,3.75,1385,3520,861,1491,1005,861,75,477,135,1053,331,949,1092,761,719,HR,46.3606,25.5976
HUNEDOARA,7006,3796,3210,4.5,5.21,3.87,4519,2487,501,903,1873,1941,133,1115,540,954,563,1051,1745,1520,1173,HD,45.8833,22.9121
IALOMITA,3718,1828,1890,4.68,5.15,4.3,972,2746,408,817,1432,464,27,536,34,542,238,465,850,642,981,IL,44.5642,27.5835
IASI,8192,3651,4541,2.97,2.9,3.03,1238,6954,451,1749,2763,865,67,2002,295,794,325,1155,2152,1383,2383,IS,47.1585,27.5749
ILFOV,1009,597,412,0.47,0.69,0.33,212,797,106,270,296,172,7,88,70,193,58,125,229,192,212,IF,44.4268,26.0974
MARAMURES,3859,2015,1844,2.16,2.54,1.85,1897,1962,149,908,1102,797,76,616,211,871,282,608,868,669,561,MM,47.6584,23.58
MEHEDINTI,5860,2617,3243,6.87,6.82,6.91,1024,4836,563,1024,2381,1121,54,616,101,583,290,754,1439,1333,1461,MH,44.6319,22.6561
MUN. BUCURESTI,11087,6597,4490,0.88,1.04,0.72,11087,0,20,67,1920,3542,227,2037,3274,266,901,2628,2918,2464,1910,B,44.4268,26.1025
MURES,6089,2858,3231,2.85,3.18,2.61,1779,4310,674,1993,1576,977,59,651,159,1650,574,946,1275,680,964,MS,46.5456,24.5624
NEAMT,6964,3088,3876,4.5,4.47,4.52,1143,5821,582,1166,2437,959,75,1538,207,651,289,965,1784,1564,1711,NT,46.9312,26.3709
OLT,6972,3187,3785,5.21,5.49,5.01,1263,5709,566,841,2549,1550,104,1230,132,797,652,886,1589,1487,1561,OT,44.4304,24.3714
PRAHOVA,6666,3444,3222,2.44,3.05,2.01,2073,4593,431,1009,1911,1474,91,1389,361,1367,382,892,1473,1379,1173,PH,44.9493,26.0365
SALAJ,4742,2152,2590,5.12,5.42,4.89,811,3931,539,1495,1319,604,55,596,134,786,314,962,1154,766,760,SJ,47.1866,23.0635
SATU MARE,4666,2122,2544,3.57,3.57,3.56,859,3807,759,1880,1400,269,18,272,68,628,306,997,1304,754,677,SM,47.7919,22.8853
SIBIU,4890,2487,2403,2.55,2.9,2.27,1611,3279,381,1545,1268,764,35,610,287,1104,368,825,1063,640,890,SB,45.7983,24.1256
SUCEAVA,10529,4639,5890,5.36,5.4,5.34,2727,7802,960,2346,3684,1499,123,1596,321,1584,682,1879,2649,1538,2197,SV,47.6514,26.2555
TELEORMAN,8518,3623,4895,7.7,7.17,8.14,1801,6717,718,1473,3871,1457,45,845,109,1232,574,1261,1936,1644,1871,TR,43.9716,25.3356
TIMIS,2871,1531,1340,0.85,1.04,0.71,1372,1499,329,268,708,715,47,416,388,372,138,469,726,487,679,TM,45.7489,21.2087
TULCEA,2567,1337,1230,3.48,3.92,3.11,645,1922,0,429,1032,636,0,388,82,504,229,270,466,570,528,TL,45.1796,28.8069
VALCEA,4873,2431,2442,3.4,3.88,3.03,1605,3268,161,585,1344,1503,66,996,218,1069,310,532,951,1017,994,VL,45.0997,24.3693
VASLUI,8304,3446,4858,7.65,6.77,8.43,1091,7213,364,1920,3825,898,37,1193,67,411,218,1038,2443,2120,2074,VS,46.6407,27.7276
VRANCEA,4469,2034,2435,3.86,3.84,3.87,777,3692,295,1300,1723,677,35,376,63,815,248,647,936,878,945,VR,45.696,27.1833
ROMANIA,234481,113162,121319,2.91,3.12,2.74,68309,166172,19408,48721,76493,43245,2560,33189,10865,35191,14832,35141,55515,44444,49358,RO,,
