Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5601,2803,2798,3.55,3.94,3.23,1767,3834,355,937,1875,1317,46,839,232,1130,531,868,1155,968,949,AB,46.0669,23.5774
ARAD,2285,1244,1041,1.18,1.5,0.94,796,1489,491,254,611,487,31,260,151,236,81,282,579,566,541,AR,46.1866,21.319
ARGES,8283,4061,4222,3.55,3.75,3.37,1226,7057,412,2193,2785,1340,84,1194,275,1111,603,1396,1937,1595,1641,AG,44.8606,24.9575
BACAU,4555,2049,2506,2.4,2.54,2.3,1708,2847,284,847,1551,835,44,754,240,719,279,510,1069,965,1013,BC,46.5672,26.912
BIHOR,3108,1730,1378,1.31,1.66,1.03,875,2233,275,697,829,627,48,384,248,389,176,467,714,598,764,BH,47.0465,21.9522
BISTRITA NASAUD,3627,1891,1736,3.13,3.84,2.61,1174,2453,256,478,1179,872,61,587,194,689,215,437,770,601,915,BN,47.1354,24.4897
BOTOSANI,3314,1625,1689,2.97,3.19,2.79,1059,2255,129,575,1333,599,57,511,110,507,124,347,710,748,878,BT,47.7486,26.663
BRAILA,3428,1505,1923,3.11,2.97,3.23,884,2544,491,787,1202,414,41,398,95,522,189,453,799,555,910,BR,45.2692,27.9574
BRASOV,6344,3212,3132,2.44,2.82,2.15,1804,4540,764,1798,2134,845,40,532,231,1803,428,1018,1271,864,960,BV,45.658,25.5696
BUZAU,7619,3250,4369,5.24,5.18,5.29,1265,6354,808,1867,2695,921,33,1187,108,742,317,988,1796,1931,1845,BZ,45.1481,26.8241
CALARASI,3889,1864,2025,5.1,5.4,4.84,972,2917,555,1039,1277,619,30,308,61,476,177,759,1031,622,824,CL,44.2068,27.3387
CARAS-SEVERIN,2269,1048,1221,2.43,2.64,2.28,938,1331,242,403,573,617,39,272,123,304,102,291,515,484,573,CS,45.3008,22.2151
CLUJ,4201,2211,1990,1.16,1.38,0.99,1720,2481,659,744,1072,653,82,622,369,455,246,730,1044,858,868,CJ,46.7712,23.5726
CONSTANTA,5473,3400,2073,1.96,2.82,1.3,2311,3162,740,913,1313,1486,66,694,261,1117,338,660,1147,764,1447,CT,44.1598,28.6348
COVASNA,4278,2160,2118,5.33,6.02,4.77,1262,3016,440,1311,882,1103,29,442,71,1834,364,558,664,467,391,CV,45.8683,26.141
DAMBOVITA,5039,2679,2360,2.96,3.84,2.35,842,4197,346,1051,1723,1099,50,623,147,1072,488,667,1012,911,889,DB,44.9333,25.4597
DOLJ,16378,7239,9139,7.1,7.13,7.07,2453,13925,1053,4843,5343,3100,116,1627,296,2394,1097,2396,3989,3216,3286,DJ,44.3302,23.7949
GALATI,8248,3692,4556,4.9,4.87,4.93,1478,6770,1030,1799,3089,1116,62,945,207,1195,437,939,2051,1468,2158,GL,45.435,28.0544
GIURGIU,2238,1198,1040,3.36,4.12,2.77,429,1809,261,375,827,604,7,133,31,583,199,260,428,368,400,GR,43.9037,25.9699
GORJ,3699,1854,1845,3.02,3.35,2.76,1093,2606,0,455,1050,1113,73,809,199,549,163,468,822,844,853,GJ,45.0382,23.2746
HARGHITA,4746,2185,2561,3.85,4.2,3.6,1336,3410,844,1450,977,838,59,451,127,1036,320,916,1046,731,697,HR,46.3606,25.5976
HUNEDOARA,6829,3697,3132,4.38,5.08,3.77,4399,2430,483,883,1830,1896,125,1093,519,924,558,1019,1714,1465,1149,HD,45.8833,22.9121
IALOMITA,3725,1852,1873,4.69,5.22,4.26,999,2726,427,822,1389,482,30,536,39,591,244,448,839,626,977,IL,44.5642,27.5835
IASI,8486,3880,4606,3.08,3.08,3.07,1552,6934,439,1742,2784,940,61,2011,509,895,375,1248,2184,1363,2421,IS,47.1585,27.5749
