Judet,Total someri ,Total someri femei  ,Total someri barbati  ,  Rata somajului ,  Rata somajului feminina,  Rata somajului masculina ,Someri mediul urban,Someri mediul rural,Fara studii,Invatamant primar ,Invatamant gimnazial ,Invatamant liceal,invatamant Posticeal,invatamant Profesional,Invatamant universitar,Sub 25 ani,25-29 ani,30-39 ani,40-49 ani,50-55 ani,Peste 55 ani,Prescurtari,Latitudine,Longitudine
ALBA ,5397,2700,2697,3.42,3.8,3.11,1709,3688,326,891,1831,1294,42,799,214,1047,481,843,1147,944,935,AB,46.0669,23.5774
ARAD,2305,1246,1059,1.19,1.5,0.95,802,1503,470,256,621,505,31,267,155,231,83,277,618,579,517,AR,46.1866,21.319
ARGES,8068,3971,4097,3.46,3.67,3.27,1159,6909,406,2138,2710,1308,79,1175,252,1008,561,1407,1936,1616,1540,AG,44.8606,24.9575
BACAU,4670,2078,2592,2.46,2.57,2.38,1731,2939,293,857,1656,875,41,735,213,729,291,521,1104,999,1026,BC,46.5672,26.912
BIHOR,3038,1710,1328,1.28,1.64,1,867,2171,247,605,772,729,51,401,233,440,165,402,695,595,741,BH,47.0465,21.9522
BISTRITA NASAUD,4028,2097,1931,3.48,4.26,2.9,1297,2731,274,519,1361,992,62,627,193,799,257,452,856,669,995,BN,47.1354,24.4897
BOTOSANI,3333,1637,1696,2.99,3.21,2.8,1070,2263,123,577,1344,638,54,482,115,526,128,342,696,752,889,BT,47.7486,26.663
BRAILA,3468,1567,1901,3.15,3.1,3.19,873,2595,475,787,1246,440,43,386,91,521,201,470,805,562,909,BR,45.2692,27.9574
BRASOV,6390,3274,3116,2.46,2.87,2.14,1911,4479,750,1759,2082,947,40,578,234,1664,554,1001,1268,887,1016,BV,45.658,25.5696
BUZAU,7595,3284,4311,5.22,5.23,5.22,1285,6310,809,1828,2679,967,32,1177,103,738,301,995,1775,1911,1875,BZ,45.1481,26.8241
CALARASI,3677,1772,1905,4.82,5.14,4.56,985,2692,516,1034,1209,573,27,267,51,503,183,742,954,550,745,CL,44.2068,27.3387
CARAS-SEVERIN,2233,1044,1189,2.4,2.63,2.22,938,1295,250,351,574,629,36,273,120,283,101,301,500,474,574,CS,45.3008,22.2151
CLUJ,3999,2092,1907,1.11,1.3,0.95,1594,2405,653,714,1027,605,84,588,328,414,198,711,1026,821,829,CJ,46.7712,23.5726
CONSTANTA,5084,2984,2100,1.82,2.47,1.32,2056,3028,756,912,1174,1383,60,546,253,1155,355,639,970,644,1321,CT,44.1598,28.6348
COVASNA,4260,2127,2133,5.31,5.92,4.8,1276,2984,413,1253,872,1159,28,470,65,1886,371,529,636,455,383,CV,45.8683,26.141
DAMBOVITA,4890,2588,2302,2.87,3.71,2.29,832,4058,350,1008,1656,1100,45,602,129,976,457,675,1013,872,897,DB,44.9333,25.4597
DOLJ,16381,7310,9071,7.1,7.19,7.02,2539,13842,1009,4770,5310,3231,118,1644,299,2557,1114,2343,3936,3304,3127,DJ,44.3302,23.7949
GALATI,8621,3837,4784,5.12,5.06,5.17,1427,7194,1101,1891,3279,1141,56,955,198,1238,467,996,2111,1541,2268,GL,45.435,28.0544
